Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",CAP
160,STARHEALTH,Star Health and Allied Insurance Company Limited,"3,014,833.69",LARGECAP
161,IGL,Indraprastha Gas Limited,"3,000,903.43",LARGECAP
162,LUPIN,Lupin Limited,"2,950,098.98",LARGECAP
163,UCOBANK,UCO Bank,"2,905,297.84",LARGECAP
164,JUBLFOOD,Jubilant Foodworks Limited,"2,903,978.73",LARGECAP
165,POLICYBZR,PB Fintech Limited,"2,875,793.35",LARGECAP
166,GODREJPROP,Godrej Properties Limited,"2,866,540.10",LARGECAP
167,M&MFIN,Mahindra & Mahindra Financial Services Limited,"2,862,105.06",LARGECAP
168,IDEA,Vodafone Idea Limited,"2,823,421.97",LARGECAP
169,OFSS,Oracle Financial Services Software Limited,"2,819,710.22",LARGECAP
170,FEDERALBNK,The Federal Bank  Limited,"2,801,027.34",LARGECAP
171,MANYAVAR,Vedant Fashions Limited,"2,765,607.75",LARGECAP
172,UNOMINDA,UNO Minda Limited,"2,755,449.63",LARGECAP
173,AIAENG,AIA Engineering Limited,"2,738,214.66",LARGECAP
174,THERMAX,Thermax Limited,"2,731,896.49",LARGECAP
175,OIL,Oil India Limited,"2,728,905.67",LARGECAP
176,VOLTAS,Voltas Limited,"2,707,464.39",LARGECAP
177,3MINDIA,3M India Limited,"2,586,893.78",LARGECAP
178,COROMANDEL,Coromandel International Limited,"2,585,080.72",LARGECAP
179,SUNDARMFIN,Sundaram Finance Limited,"2,554,833.26",LARGECAP
180,KPITTECH,KPIT Technologies Limited,"2,536,104.37",LARGECAP
181,DEEPAKNTR,Deepak Nitrite Limited,"2,513,178.17",LARGECAP
182,ESCORTS,Escorts Kubota Limited,"2,495,062.79",LARGECAP
183,BIOCON,Biocon Limited,"2,477,438.10",LARGECAP
184,TATACHEM,Tata Chemicals Limited,"2,477,377.43",LARGECAP
185,TORNTPOWER,Torrent Power Limited,"2,453,068.07",LARGECAP
186,GMRINFRA,GMR Airports Infrastructure Limited,"2,447,575.81",LARGECAP
187,BHEL,Bharat Heavy Electricals Limited,"2,439,185.38",LARGECAP
188,SONACOMS,Sona BLW Precision Forgings Limited,"2,420,647.95",LARGECAP
189,DELHIVERY,Delhivery Limited,"2,416,783.79",LARGECAP
190,SYNGENE,Syngene International Limited,"2,386,528.10",LARGECAP
191,CRISIL,CRISIL Limited,"2,352,052.27",LARGECAP
192,GICRE,General Insurance Corporation of India,"2,344,755.60",LARGECAP
193,COFORGE,Coforge Limited,"2,329,509.10",LARGECAP
194,PHOENIXLTD,The Phoenix Mills Limited,"2,323,554.64",LARGECAP
195,JKCEMENT,JK Cement Limited,"2,259,091.85",LARGECAP
196,POONAWALLA,Poonawalla Fincorp Limited,"2,246,206.85",LARGECAP
197,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,"2,244,206.44",LARGECAP
198,MFSL,Max Financial Services Limited,"2,191,478.80",LARGECAP
199,METROBRAND,Metro Brands Limited,"2,159,328.04",LARGECAP
200,MSUMI,Motherson Sumi Wiring India Limited,"2,133,184.58",LARGECAP
201,SUMICHEM,Sumitomo Chemical India Limited,"2,126,859.98",LARGECAP
202,RELAXO,Relaxo Footwears Limited,"2,118,236.19",LARGECAP
203,NAVINFLUOR,Navin Fluorine International Limited,"2,116,258.04",LARGECAP
204,SKFINDIA,SKF India Limited,"2,103,956.11",LARGECAP
205,CENTRALBK,Central Bank of India,"2,092,106.40",LARGECAP
206,GLAND,Gland Pharma Limited,"2,088,683.75",LARGECAP
207,KANSAINER,Kansai Nerolac Paints Limited,"2,084,541.48",LARGECAP
208,GRINDWELL,Grindwell Norton Limited,"2,079,764.48",LARGECAP
209,TIMKEN,Timken India Limited,"2,072,614.61",LARGECAP
210,IPCALAB,IPCA Laboratories Limited,"2,055,892.13",LARGECAP
211,SUNDRMFAST,Sundram Fasteners Limited,"2,055,055.46",LARGECAP
212,ATUL,Atul Limited,"2,053,876.97",LARGECAP
213,ZEEL,Zee Entertainment Enterprises Limited,"2,038,702.47",LARGECAP
214,L&TFH,L&T Finance Holdings Limited,"2,034,570.15",LARGECAP
215,ABFRL,Aditya Birla Fashion and Retail Limited,"2,033,642.08",LARGECAP
216,APOLLOTYRE,Apollo Tyres Limited,"2,031,687.93",LARGECAP
217,KPRMILL,K.P.R. Mill Limited,1976027,MIDCAP
218,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,1974307,MIDCAP
219,FORTIS,Fortis Healthcare Limited,1962136,MIDCAP
