stock1 - stock2,corr
./data\20MICRONS.json - ./data\CHAMBLFERT.json,0.20476755854869041
./data\20MICRONS.json - ./data\CHEMBOND.json,0.08450111526844536
./data\20MICRONS.json - ./data\CHEMCON.json,
./data\20MICRONS.json - ./data\CHEMFAB.json,0.0027641920795607386
./data\20MICRONS.json - ./data\CHEMPLASTS.json,0.17931090995283566
./data\20MICRONS.json - ./data\CHENNPETRO.json,0.1737388262880699
./data\20MICRONS.json - ./data\CHEVIOT.json,
./data\20MICRONS.json - ./data\CHOICEIN.json,
./data\20MICRONS.json - ./data\CHOLAFIN.json,0.1651716784456626
./data\20MICRONS.json - ./data\CHOLAHLDNG.json,0.059923723471299574
./data\20MICRONS.json - ./data\CIEINDIA.json,0.16756185095052145
./data\20MICRONS.json - ./data\CIGNITITEC.json,-0.03885025592558794
./data\20MICRONS.json - ./data\CINELINE.json,-0.015107746710708032
./data\20MICRONS.json - ./data\CINEVISTA.json,0.012041495006809932
./data\20MICRONS.json - ./data\CIPLA.json,0.15016202677414067
./data\20MICRONS.json - ./data\CLEAN.json,
./data\20MICRONS.json - ./data\CLEDUCATE.json,0.02563052519865779
./data\20MICRONS.json - ./data\CLSEL.json,
./data\20MICRONS.json - ./data\CMICABLES.json,0.014810212106156467
./data\20MICRONS.json - ./data\CMSINFO.json,
./data\20MICRONS.json - ./data\COALINDIA.json,-0.002184367938961236
./data\20MICRONS.json - ./data\COASTCORP.json,
./data\20MICRONS.json - ./data\COCHINSHIP.json,-0.0017195549506785217
./data\20MICRONS.json - ./data\COFFEEDAY.json,-0.03449023891439783
./data\20MICRONS.json - ./data\COFORGE.json,0.13526088103782336
./data\20MICRONS.json - ./data\COLPAL.json,0.14796494477696093
./data\20MICRONS.json - ./data\COMPINFO.json,-0.02580109618426574
./data\20MICRONS.json - ./data\COMPUSOFT.json,0.009130241376850638
./data\20MICRONS.json - ./data\CONCOR.json,0.16029703690462926
./data\20MICRONS.json - ./data\CONCORDBIO.json,
./data\20MICRONS.json - ./data\CONFIPET.json,-0.06335930606804635
./data\20MICRONS.json - ./data\CONSOFINVT.json,-0.014157146117877557
./data\20MICRONS.json - ./data\CONTROLPR.json,-0.08685572130898159
./data\20MICRONS.json - ./data\CORALFINAC.json,0.0120870754362577
./data\20MICRONS.json - ./data\CORDSCABLE.json,0.06310968034848034
./data\20MICRONS.json - ./data\COROMANDEL.json,0.14428612246692216
./data\20MICRONS.json - ./data\COSMOFIRST.json,0.21993530669908706
./data\20MICRONS.json - ./data\COUNCODOS.json,-0.009949320001529522
./data\20MICRONS.json - ./data\CRAFTSMAN.json,
./data\20MICRONS.json - ./data\CREATIVE.json,-0.00825463308224941
./data\20MICRONS.json - ./data\CREATIVEYE.json,0.0538253945225795
